"id","created_at","updated_at","generation_level","amount","percentage","referral_pool","status","ppv","tv","tier","qualification_reason","tx_amount","rpr","calculated_at","buyer_id","purchase_id","user_id","is_sponsor_earning","sponsor_withhold_amount","referral_system_type","earning_type"
141,2025-11-07 01:28:52.192 +0300,2025-11-07 01:28:52.192 +0300,5,2.360526,0.0250,28.326316,PENDING,,,,mlm_upline_l5_qualified,89.700000,0.3000,2025-11-07 01:28:52.185 +0300,4733,491,13,false,,3,NETWORK
142,2025-11-07 01:28:52.267 +0300,2025-11-07 01:28:52.267 +0300,5,1.684210,0.0250,20.210526,PENDING,,,,mlm_upline_l5_qualified,64.000000,0.3000,2025-11-07 01:28:52.260 +0300,4733,492,13,false,,3,NETWORK
143,2025-11-07 01:28:52.346 +0300,2025-11-07 01:28:52.346 +0300,6,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l6_qualified,15.000000,0.3000,2025-11-07 01:28:52.299 +0300,8311,493,13,false,,3,NETWORK
144,2025-11-07 01:28:52.388 +0300,2025-11-07 01:28:52.388 +0300,5,1.578947,0.0250,18.947369,PENDING,,,,mlm_upline_l5_qualified,60.000000,0.3000,2025-11-07 01:28:52.381 +0300,4370,494,13,false,,3,NETWORK
145,2025-11-07 01:28:52.467 +0300,2025-11-07 01:28:52.467 +0300,6,1.184210,0.0250,14.210526,PENDING,,,,mlm_upline_l6_qualified,45.000000,0.3000,2025-11-07 01:28:52.459 +0300,4813,495,13,false,,3,NETWORK
146,2025-11-07 01:28:52.557 +0300,2025-11-07 01:28:52.557 +0300,8,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l8_qualified,15.000000,0.3000,2025-11-07 01:28:52.550 +0300,4659,497,13,false,,3,NETWORK
147,2025-11-07 01:28:52.595 +0300,2025-11-07 01:28:52.595 +0300,5,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l5_qualified,15.000000,0.3000,2025-11-07 01:28:52.588 +0300,1327,499,13,false,,3,NETWORK
148,2025-11-07 01:28:52.668 +0300,2025-11-07 01:28:52.668 +0300,4,1.578947,0.0250,18.947369,PENDING,,,,mlm_upline_l4_qualified,60.000000,0.3000,2025-11-07 01:28:52.661 +0300,11085,501,13,false,,3,NETWORK
149,2025-11-07 01:28:52.852 +0300,2025-11-07 01:28:52.852 +0300,7,1.578947,0.0250,18.947369,PENDING,,,,mlm_upline_l7_qualified,60.000000,0.3000,2025-11-07 01:28:52.844 +0300,7144,503,13,false,,3,NETWORK
150,2025-11-07 01:28:52.958 +0300,2025-11-07 01:28:52.958 +0300,4,9.473684,0.0250,113.684210,PENDING,,,,mlm_upline_l4_qualified,360.000000,0.3000,2025-11-07 01:28:52.951 +0300,11160,506,13,false,,3,NETWORK
151,2025-11-07 01:28:52.989 +0300,2025-11-07 01:28:52.989 +0300,4,0.789473,0.0250,9.473684,PENDING,,,,mlm_upline_l4_qualified,30.000000,0.3000,2025-11-07 01:28:52.982 +0300,7609,507,13,false,,3,NETWORK
152,2025-11-07 01:28:53.152 +0300,2025-11-07 01:28:53.152 +0300,6,3.947368,0.0250,47.368421,PENDING,,,,mlm_upline_l6_qualified,150.000000,0.3000,2025-11-07 01:28:53.144 +0300,6787,509,13,false,,3,NETWORK
153,2025-11-07 01:28:53.185 +0300,2025-11-07 01:28:53.185 +0300,4,1.184210,0.0250,14.210526,PENDING,,,,mlm_upline_l4_qualified,45.000000,0.3000,2025-11-07 01:28:53.178 +0300,11399,510,13,false,,3,NETWORK
154,2025-11-07 01:28:53.254 +0300,2025-11-07 01:28:53.254 +0300,4,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l4_qualified,15.000000,0.3000,2025-11-07 01:28:53.247 +0300,11413,511,13,false,,3,NETWORK
155,2025-11-07 01:28:53.367 +0300,2025-11-07 01:28:53.367 +0300,6,0.789473,0.0250,9.473684,PENDING,,,,mlm_upline_l6_qualified,30.000000,0.3000,2025-11-07 01:28:53.360 +0300,11477,514,13,false,,3,NETWORK
156,2025-11-07 01:28:53.442 +0300,2025-11-07 01:28:53.442 +0300,4,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l4_qualified,15.000000,0.3000,2025-11-07 01:28:53.393 +0300,2229,515,13,false,,3,NETWORK
157,2025-11-07 01:28:53.596 +0300,2025-11-07 01:28:53.596 +0300,10,0.394736,0.0250,4.736842,PENDING,,,,mlm_upline_l10_qualified,15.000000,0.3000,2025-11-07 01:28:53.595 +0300,11815,529,13,false,,3,NETWORK
