"id","created_at","updated_at","earning_type","level","percentage","amount_usdt","status","is_grace_period","recipient_was_active","compression_applied","original_level","buyer_id","purchase_id","recipient_id","shares_count","distribution_id"
684,2025-11-26 06:05:48.228 +0300,2025-11-26 06:05:48.228 +0300,NETWORK,4,2.00,20.000000,PENDING,true,true,false,4,977,101,178,,
685,2025-11-26 06:05:48.229 +0300,2025-11-26 06:05:48.229 +0300,NETWORK,5,2.00,20.000000,PENDING,true,true,false,5,977,101,179,,
686,2025-11-26 06:05:48.230 +0300,2025-11-26 06:05:48.230 +0300,NETWORK,6,2.00,20.000000,PENDING,true,true,false,6,977,101,180,,
688,2025-11-26 06:05:48.235 +0300,2025-11-26 06:05:48.235 +0300,LEGENDS_POOL,,,50.000000,PENDING,false,true,false,,977,101,,,
689,2025-11-26 06:27:18.235 +0300,2025-11-26 06:27:18.235 +0300,NETWORK,1,10.00,25.000000,PENDING,true,true,false,1,225,102,226,,
4686,2025-12-09 16:15:22.653 +0300,2025-12-09 16:15:22.653 +0300,BONUS_POOL,6,2.00,5.000000,PENDING,false,true,false,,2624,615,,,
4687,2025-12-09 16:15:22.661 +0300,2025-12-09 16:15:22.661 +0300,BONUS_POOL,7,2.00,5.000000,PENDING,false,true,false,,2624,615,,,
692,2025-11-26 06:27:18.239 +0300,2025-11-26 06:27:18.239 +0300,NETWORK,4,2.00,5.000000,PENDING,true,true,false,4,225,102,88,,
693,2025-11-26 06:27:18.240 +0300,2025-11-26 06:27:18.241 +0300,NETWORK,5,2.00,5.000000,PENDING,true,true,false,5,225,102,89,,
694,2025-11-26 06:27:18.242 +0300,2025-11-26 06:27:18.242 +0300,NETWORK,6,2.00,5.000000,PENDING,true,true,false,6,225,102,71,,
695,2025-11-26 06:27:18.243 +0300,2025-11-26 06:27:18.243 +0300,NETWORK,7,2.00,5.000000,PENDING,true,true,false,7,225,102,72,,
696,2025-11-26 06:27:18.246 +0300,2025-11-26 06:27:18.246 +0300,LEGENDS_POOL,,,12.500000,PENDING,false,true,false,,225,102,,,
4688,2025-12-09 16:15:22.664 +0300,2025-12-09 16:15:22.664 +0300,LEGENDS_POOL,,,12.500000,PENDING,false,true,false,,2624,615,,,
698,2025-11-26 06:31:48.252 +0300,2025-11-26 06:31:48.252 +0300,NETWORK,2,5.00,50.000000,PENDING,true,true,false,2,19,103,21,,
699,2025-11-26 06:31:48.253 +0300,2025-11-26 06:31:48.253 +0300,NETWORK,3,2.00,20.000000,PENDING,true,true,false,3,19,103,22,,
4017,2025-12-07 06:31:29.328 +0300,2025-12-07 06:31:29.328 +0300,NETWORK,1,10.00,100.000000,WITHDRAWN,false,true,false,1,2402,532,173,,
701,2025-11-26 06:31:48.254 +0300,2025-11-26 06:31:48.254 +0300,NETWORK,5,2.00,20.000000,PENDING,true,true,false,5,19,103,24,,
702,2025-11-26 06:31:48.255 +0300,2025-11-26 06:31:48.255 +0300,NETWORK,6,2.00,20.000000,PENDING,true,true,false,6,19,103,34,,
703,2025-11-26 06:31:48.259 +0300,2025-11-26 06:31:48.259 +0300,BONUS_POOL,7,2.00,20.000000,PENDING,false,true,false,,19,103,,,
704,2025-11-26 06:31:48.262 +0300,2025-11-26 06:31:48.262 +0300,LEGENDS_POOL,,,50.000000,PENDING,false,true,false,,19,103,,,
4905,2025-12-10 10:03:26.717 +0300,2025-12-10 10:03:26.717 +0300,NETWORK,1,10.00,25.000000,PENDING,false,true,true,2,964,643,301,,
706,2025-11-26 06:37:48.256 +0300,2025-11-26 06:37:48.256 +0300,NETWORK,2,5.00,50.000000,PENDING,true,true,false,2,19,104,21,,
707,2025-11-26 06:37:48.257 +0300,2025-11-26 06:37:48.257 +0300,NETWORK,3,2.00,20.000000,PENDING,true,true,false,3,19,104,22,,
709,2025-11-26 06:37:48.259 +0300,2025-11-26 06:37:48.259 +0300,NETWORK,5,2.00,20.000000,PENDING,true,true,false,5,19,104,24,,
710,2025-11-26 06:37:48.259 +0300,2025-11-26 06:37:48.260 +0300,NETWORK,6,2.00,20.000000,PENDING,true,true,false,6,19,104,34,,
711,2025-11-26 06:37:48.262 +0300,2025-11-26 06:37:48.262 +0300,BONUS_POOL,7,2.00,20.000000,PENDING,false,true,false,,19,104,,,
712,2025-11-26 06:37:48.265 +0300,2025-11-26 06:37:48.265 +0300,LEGENDS_POOL,,,50.000000,PENDING,false,true,false,,19,104,,,
713,2025-11-26 06:55:48.277 +0300,2025-11-26 06:55:48.277 +0300,NETWORK,1,10.00,25.000000,PENDING,true,true,false,1,523,105,524,,
714,2025-11-26 06:55:48.278 +0300,2025-11-26 06:55:48.278 +0300,NETWORK,2,5.00,12.500000,PENDING,true,true,false,2,523,105,375,,
715,2025-11-26 06:55:48.279 +0300,2025-11-26 06:55:48.279 +0300,NETWORK,3,2.00,5.000000,PENDING,true,true,false,3,523,105,376,,
